season,time,ThirdPractice,FirstPractice,SecondPractice,raceName,round,url,Sprint,Circuit,Qualifying,date
2008,07:00:00Z,,,,Malaysian Grand Prix,2,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,"{'circuitId': 'sepang', 'url': 'http://en.wikipedia.org/wiki/Sepang_International_Circuit', 'circuitName': 'Sepang International Circuit', 'Location': {'lat': '2.76083', 'long': '101.738', 'locality': 'Kuala Lumpur', 'country': 'Malaysia'}}",,2008-03-23
2008,11:30:00Z,,,,Bahrain Grand Prix,3,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix,,"{'circuitId': 'bahrain', 'url': 'http://en.wikipedia.org/wiki/Bahrain_International_Circuit', 'circuitName': 'Bahrain International Circuit', 'Location': {'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}}",,2008-04-06
2008,12:00:00Z,,,,Spanish Grand Prix,4,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix,,"{'circuitId': 'catalunya', 'url': 'http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya', 'circuitName': 'Circuit de Barcelona-Catalunya', 'Location': {'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}}",,2008-04-27
2008,12:00:00Z,,,,Turkish Grand Prix,5,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix,,"{'circuitId': 'istanbul', 'url': 'http://en.wikipedia.org/wiki/Istanbul_Park', 'circuitName': 'Istanbul Park', 'Location': {'lat': '40.9517', 'long': '29.405', 'locality': 'Istanbul', 'country': 'Turkey'}}",,2008-05-11
2008,12:00:00Z,,,,Monaco Grand Prix,6,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix,,"{'circuitId': 'monaco', 'url': 'http://en.wikipedia.org/wiki/Circuit_de_Monaco', 'circuitName': 'Circuit de Monaco', 'Location': {'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}}",,2008-05-25
2008,17:00:00Z,,,,Canadian Grand Prix,7,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix,,"{'circuitId': 'villeneuve', 'url': 'http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve', 'circuitName': 'Circuit Gilles Villeneuve', 'Location': {'lat': '45.5', 'long': '-73.5228', 'locality': 'Montreal', 'country': 'Canada'}}",,2008-06-08
2008,12:00:00Z,,,,French Grand Prix,8,http://en.wikipedia.org/wiki/2008_French_Grand_Prix,,"{'circuitId': 'magny_cours', 'url': 'http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours', 'circuitName': 'Circuit de Nevers Magny-Cours', 'Location': {'lat': '46.8642', 'long': '3.16361', 'locality': 'Magny Cours', 'country': 'France'}}",,2008-06-22
2008,12:00:00Z,,,,British Grand Prix,9,http://en.wikipedia.org/wiki/2008_British_Grand_Prix,,"{'circuitId': 'silverstone', 'url': 'http://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}",,2008-07-06
2008,12:00:00Z,,,,German Grand Prix,10,http://en.wikipedia.org/wiki/2008_German_Grand_Prix,,"{'circuitId': 'hockenheimring', 'url': 'http://en.wikipedia.org/wiki/Hockenheimring', 'circuitName': 'Hockenheimring', 'Location': {'lat': '49.3278', 'long': '8.56583', 'locality': 'Hockenheim', 'country': 'Germany'}}",,2008-07-20
2008,12:00:00Z,,,,Hungarian Grand Prix,11,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix,,"{'circuitId': 'hungaroring', 'url': 'http://en.wikipedia.org/wiki/Hungaroring', 'circuitName': 'Hungaroring', 'Location': {'lat': '47.5789', 'long': '19.2486', 'locality': 'Budapest', 'country': 'Hungary'}}",,2008-08-03
